Date,Location,Population
2020-09-20,Afghanistan,38928341
2020-09-21,Afghanistan,38928341
2020-09-22,Afghanistan,38928341
2020-09-23,Afghanistan,38928341
2020-09-24,Afghanistan,38928341
2020-09-25,Afghanistan,38928341
2020-09-26,Afghanistan,38928341
2020-09-27,Afghanistan,38928341
2020-09-28,Afghanistan,38928341
2020-09-29,Afghanistan,38928341
2020-09-30,Afghanistan,38928341
2020-10-01,Afghanistan,38928341
2020-10-02,Afghanistan,38928341
2020-10-03,Afghanistan,38928341
2020-10-04,Afghanistan,38928341
2020-10-05,Afghanistan,38928341
2020-10-06,Afghanistan,38928341
2020-10-07,Afghanistan,38928341
2020-10-08,Afghanistan,38928341
2020-10-09,Afghanistan,38928341
2020-10-10,Afghanistan,38928341
2020-10-11,Afghanistan,38928341
2020-10-12,Afghanistan,38928341
2020-10-13,Afghanistan,38928341
2020-10-14,Afghanistan,38928341
2020-10-15,Afghanistan,38928341
2020-10-16,Afghanistan,38928341
2020-10-17,Afghanistan,38928341
2020-10-18,Afghanistan,38928341
2020-10-19,Afghanistan,38928341
2020-03-09,Albania,2877800
2020-03-10,Albania,2877800
2020-03-11,Albania,2877800
2020-03-12,Albania,2877800
2020-03-13,Albania,2877800
2020-03-14,Albania,2877800
2020-03-15,Albania,2877800
2020-03-16,Albania,2877800
2020-03-17,Albania,2877800
2020-03-18,Albania,2877800
2020-03-19,Albania,2877800
2020-03-20,Albania,2877800
2020-03-21,Albania,2877800
2020-03-22,Albania,2877800
2020-03-23,Albania,2877800
2020-03-24,Albania,2877800
2020-03-25,Albania,2877800
2020-03-26,Albania,2877800
2020-03-27,Albania,2877800
2020-03-28,Albania,2877800
2020-03-29,Albania,2877800
2020-03-30,Albania,2877800
2020-03-31,Albania,2877800
2020-04-01,Albania,2877800
2020-04-02,Albania,2877800
2020-04-03,Albania,2877800
2020-04-04,Albania,2877800
2020-04-05,Albania,2877800
2020-04-06,Albania,2877800
2020-04-07,Albania,2877800
2020-04-08,Albania,2877800
2020-04-09,Albania,2877800
2020-04-10,Albania,2877800
2020-04-11,Albania,2877800
2020-04-12,Albania,2877800
2020-04-13,Albania,2877800
2020-04-14,Albania,2877800
2020-04-15,Albania,2877800
2020-04-16,Albania,2877800
2020-04-17,Albania,2877800
2020-04-18,Albania,2877800
2020-04-19,Albania,2877800
2020-04-20,Albania,2877800
2020-04-21,Albania,2877800
2020-04-22,Albania,2877800
2020-04-23,Albania,2877800
2020-04-24,Albania,2877800
2020-04-25,Albania,2877800
2020-04-26,Albania,2877800
2020-04-27,Albania,2877800
2020-04-28,Albania,2877800
2020-04-29,Albania,2877800
2020-04-30,Albania,2877800
2020-05-01,Albania,2877800
2020-05-02,Albania,2877800
2020-05-03,Albania,2877800
2020-05-04,Albania,2877800
2020-05-05,Albania,2877800
2020-05-06,Albania,2877800
2020-05-07,Albania,2877800
2020-05-08,Albania,2877800
2020-05-09,Albania,2877800
2020-05-10,Albania,2877800
2020-05-11,Albania,2877800
2020-05-12,Albania,2877800
2020-05-13,Albania,2877800
2020-05-14,Albania,2877800
2020-05-15,Albania,2877800
2020-05-16,Albania,2877800
2020-05-17,Albania,2877800
2020-05-18,Albania,2877800
2020-05-19,Albania,2877800
2020-05-20,Albania,2877800
2020-05-21,Albania,2877800
2020-05-22,Albania,2877800
2020-05-23,Albania,2877800
2020-05-24,Albania,2877800
2020-05-25,Albania,2877800
2020-05-26,Albania,2877800
2020-05-27,Albania,2877800
2020-05-28,Albania,2877800
2020-05-29,Albania,2877800
2020-05-30,Albania,2877800
2020-05-31,Albania,2877800
2020-06-01,Albania,2877800
2020-06-02,Albania,2877800
2020-06-03,Albania,2877800
2020-06-04,Albania,2877800
2020-06-05,Albania,2877800
2020-06-06,Albania,2877800
2020-06-07,Albania,2877800
2020-06-08,Albania,2877800
2020-06-09,Albania,2877800
2020-06-10,Albania,2877800
2020-06-11,Albania,2877800
2020-06-12,Albania,2877800
2020-06-13,Albania,2877800
2020-06-14,Albania,2877800
2020-06-15,Albania,2877800
2020-06-16,Albania,2877800
2020-06-17,Albania,2877800
2020-06-18,Albania,2877800
2020-06-19,Albania,2877800
2020-06-20,Albania,2877800
2020-06-21,Albania,2877800
2020-06-22,Albania,2877800
2020-06-23,Albania,2877800
2020-06-24,Albania,2877800
2020-06-25,Albania,2877800
2020-06-26,Albania,2877800
2020-06-27,Albania,2877800
2020-06-28,Albania,2877800
2020-06-29,Albania,2877800
2020-06-30,Albania,2877800
2020-07-01,Albania,2877800
2020-07-02,Albania,2877800
2020-07-03,Albania,2877800
2020-07-04,Albania,2877800
2020-07-05,Albania,2877800
2020-07-06,Albania,2877800
2020-07-07,Albania,2877800
2020-07-08,Albania,2877800
2020-07-09,Albania,2877800
2020-07-10,Albania,2877800
2020-07-11,Albania,2877800
2020-07-12,Albania,2877800
2020-07-13,Albania,2877800
2020-07-14,Albania,2877800
2020-07-15,Albania,2877800
2020-07-16,Albania,2877800
2020-07-17,Albania,2877800
2020-07-18,Albania,2877800
2020-07-19,Albania,2877800
2020-07-20,Albania,2877800
2020-07-21,Albania,2877800
2020-07-22,Albania,2877800
2020-07-23,Albania,2877800
2020-07-24,Albania,2877800
2020-07-25,Albania,2877800
2020-07-26,Albania,2877800
2020-07-27,Albania,2877800
2020-07-28,Albania,2877800
2020-07-29,Albania,2877800
2020-07-30,Albania,2877800
2020-07-31,Albania,2877800
2020-08-01,Albania,2877800
2020-08-02,Albania,2877800
2020-08-03,Albania,2877800
2020-08-04,Albania,2877800
2020-08-05,Albania,2877800
2020-08-06,Albania,2877800
2020-08-07,Albania,2877800
2020-08-08,Albania,2877800
2020-08-09,Albania,2877800
2020-08-10,Albania,2877800
2020-08-11,Albania,2877800
2020-08-12,Albania,2877800
2020-08-13,Albania,2877800
2020-08-14,Albania,2877800
2020-08-15,Albania,2877800
2020-08-16,Albania,2877800
2020-08-17,Albania,2877800
2020-08-18,Albania,2877800
2020-08-19,Albania,2877800
2020-08-20,Albania,2877800
2020-08-21,Albania,2877800
2020-08-22,Albania,2877800
2020-08-23,Albania,2877800
2020-08-24,Albania,2877800
2020-08-25,Albania,2877800
2020-08-26,Albania,2877800
2020-08-27,Albania,2877800
2020-08-28,Albania,2877800
2020-08-29,Albania,2877800
2020-08-30,Albania,2877800
2020-08-31,Albania,2877800
2020-09-01,Albania,2877800
2020-09-02,Albania,2877800
2020-09-03,Albania,2877800
2020-09-04,Albania,2877800
2020-09-05,Albania,2877800
2020-09-06,Albania,2877800
2020-09-07,Albania,2877800
2020-09-08,Albania,2877800
2020-09-09,Albania,2877800
2020-09-10,Albania,2877800
2020-09-11,Albania,2877800
2020-09-12,Albania,2877800
2020-09-13,Albania,2877800
2020-09-14,Albania,2877800
2020-09-15,Albania,2877800
2020-09-16,Albania,2877800
2020-09-17,Albania,2877800
2020-09-18,Albania,2877800
2020-09-19,Albania,2877800
2020-09-20,Albania,2877800
2020-09-21,Albania,2877800
2020-09-22,Albania,2877800
2020-09-23,Albania,2877800
2020-09-24,Albania,2877800
2020-09-25,Albania,2877800
2020-09-26,Albania,2877800
2020-09-27,Albania,2877800
2020-09-28,Albania,2877800
2020-09-29,Albania,2877800
2020-09-30,Albania,2877800
2020-10-01,Albania,2877800
2020-10-02,Albania,2877800
2020-10-03,Albania,2877800
2020-10-04,Albania,2877800
2020-10-05,Albania,2877800
2020-10-06,Albania,2877800
2020-10-07,Albania,2877800
2020-10-08,Albania,2877800
2020-10-09,Albania,2877800
2020-10-10,Albania,2877800
2020-10-11,Albania,2877800
2020-10-12,Albania,2877800
2020-10-13,Albania,2877800
2020-10-14,Albania,2877800
2020-10-15,Albania,2877800
2020-10-16,Albania,2877800
2020-10-17,Albania,2877800
2020-10-18,Albania,2877800
2020-10-19,Albania,2877800
2019-12-31,Algeria,43851043
2020-01-01,Algeria,43851043
2020-01-02,Algeria,43851043
2020-01-03,Algeria,43851043
2020-01-04,Algeria,43851043
2020-01-05,Algeria,43851043
2020-01-06,Algeria,43851043
2020-01-07,Algeria,43851043
2020-01-08,Algeria,43851043
2020-01-09,Algeria,43851043
2020-01-10,Algeria,43851043
2020-01-11,Algeria,43851043
2020-01-12,Algeria,43851043
2020-01-13,Algeria,43851043
2020-01-14,Algeria,43851043
2020-01-15,Algeria,43851043
2020-01-16,Algeria,43851043
2020-01-17,Algeria,43851043
2020-01-18,Algeria,43851043
2020-01-19,Algeria,43851043
2020-01-20,Algeria,43851043
2020-01-21,Algeria,43851043
2020-01-22,Algeria,43851043
2020-01-23,Algeria,43851043
2020-01-24,Algeria,43851043
2020-01-25,Algeria,43851043
2020-01-26,Algeria,43851043
2020-01-27,Algeria,43851043
2020-01-28,Algeria,43851043
2020-01-29,Algeria,43851043
2020-01-30,Algeria,43851043
2020-01-31,Algeria,43851043
2020-02-01,Algeria,43851043
2020-02-02,Algeria,43851043
2020-02-03,Algeria,43851043
2020-02-04,Algeria,43851043
2020-02-05,Algeria,43851043
2020-02-06,Algeria,43851043
2020-02-07,Algeria,43851043
2020-02-08,Algeria,43851043
2020-02-09,Algeria,43851043
2020-02-10,Algeria,43851043
2020-02-11,Algeria,43851043
2020-02-12,Algeria,43851043
2020-02-13,Algeria,43851043
2020-02-14,Algeria,43851043
2020-02-15,Algeria,43851043
2020-02-16,Algeria,43851043
2020-02-17,Algeria,43851043
2020-02-18,Algeria,43851043
2020-02-19,Algeria,43851043
2020-02-20,Algeria,43851043
2020-02-21,Algeria,43851043
2020-02-22,Algeria,43851043
2020-02-23,Algeria,43851043
2020-02-24,Algeria,43851043
2020-02-25,Algeria,43851043
2020-02-26,Algeria,43851043
2020-02-27,Algeria,43851043
2020-02-28,Algeria,43851043
2020-02-29,Algeria,43851043
2020-03-01,Algeria,43851043
2020-03-02,Algeria,43851043
2020-03-03,Algeria,43851043
2020-03-04,Algeria,43851043
2020-03-05,Algeria,43851043
2020-03-06,Algeria,43851043
2020-03-07,Algeria,43851043
2020-03-08,Algeria,43851043
2020-03-09,Algeria,43851043
2020-03-10,Algeria,43851043
2020-03-11,Algeria,43851043
2020-03-12,Algeria,43851043
2020-03-13,Algeria,43851043
2020-03-14,Algeria,43851043
2020-03-15,Algeria,43851043
2020-03-16,Algeria,43851043
2020-03-17,Algeria,43851043
2020-03-18,Algeria,43851043
2020-03-19,Algeria,43851043
2020-03-20,Algeria,43851043
2020-03-21,Algeria,43851043
2020-03-22,Algeria,43851043
2020-03-23,Algeria,43851043
2020-03-24,Algeria,43851043
2020-03-25,Algeria,43851043
2020-03-26,Algeria,43851043
2020-03-27,Algeria,43851043
2020-03-28,Algeria,43851043
2020-03-29,Algeria,43851043
2020-03-30,Algeria,43851043
2020-03-31,Algeria,43851043
2020-04-01,Algeria,43851043
2020-04-02,Algeria,43851043
2020-04-03,Algeria,43851043
2020-04-04,Algeria,43851043
2020-04-05,Algeria,43851043
2020-04-06,Algeria,43851043
2020-04-07,Algeria,43851043
2020-04-08,Algeria,43851043
2020-04-09,Algeria,43851043
2020-04-10,Algeria,43851043
2020-04-11,Algeria,43851043
2020-04-12,Algeria,43851043
2020-04-13,Algeria,43851043
2020-04-14,Algeria,43851043
2020-04-15,Algeria,43851043
2020-04-16,Algeria,43851043
2020-04-17,Algeria,43851043
2020-04-18,Algeria,43851043
2020-04-19,Algeria,43851043
2020-04-20,Algeria,43851043
2020-04-21,Algeria,43851043
2020-04-22,Algeria,43851043
2020-04-23,Algeria,43851043
2020-04-24,Algeria,43851043
2020-04-25,Algeria,43851043
2020-04-26,Algeria,43851043
2020-04-27,Algeria,43851043
2020-04-28,Algeria,43851043
2020-04-29,Algeria,43851043
2020-04-30,Algeria,43851043
2020-05-01,Algeria,43851043
2020-05-02,Algeria,43851043
2020-05-03,Algeria,43851043
2020-05-04,Algeria,43851043
2020-05-05,Algeria,43851043
2020-05-06,Algeria,43851043
2020-05-07,Algeria,43851043
2020-05-08,Algeria,43851043
2020-05-09,Algeria,43851043
2020-05-10,Algeria,43851043
2020-05-11,Algeria,43851043
2020-05-12,Algeria,43851043
2020-05-13,Algeria,43851043
2020-05-14,Algeria,43851043
2020-05-15,Algeria,43851043
2020-05-16,Algeria,43851043
2020-05-17,Algeria,43851043
2020-05-18,Algeria,43851043
2020-05-19,Algeria,43851043
2020-05-20,Algeria,43851043
2020-05-21,Algeria,43851043
2020-05-22,Algeria,43851043
2020-05-23,Algeria,43851043
2020-05-24,Algeria,43851043
2020-05-25,Algeria,43851043
2020-05-26,Algeria,43851043
2020-05-27,Algeria,43851043
2020-05-28,Algeria,43851043
2020-05-29,Algeria,43851043
2020-05-30,Algeria,43851043
2020-05-31,Algeria,43851043
2020-06-01,Algeria,43851043
2020-06-02,Algeria,43851043
2020-06-03,Algeria,43851043
2020-06-04,Algeria,43851043
2020-06-05,Algeria,43851043
2020-06-06,Algeria,43851043
2020-06-07,Algeria,43851043
2020-06-08,Algeria,43851043
2020-06-09,Algeria,43851043
2020-06-10,Algeria,43851043
2020-06-11,Algeria,43851043
2020-06-12,Algeria,43851043
2020-06-13,Algeria,43851043
2020-06-14,Algeria,43851043
2020-06-15,Algeria,43851043
2020-06-16,Algeria,43851043
2020-06-17,Algeria,43851043
2020-06-18,Algeria,43851043
2020-06-19,Algeria,43851043
2020-06-20,Algeria,43851043
2020-06-21,Algeria,43851043
2020-06-22,Algeria,43851043
2020-06-23,Algeria,43851043
2020-06-24,Algeria,43851043
2020-06-25,Algeria,43851043
2020-06-26,Algeria,43851043
2020-06-27,Algeria,43851043
2020-06-28,Algeria,43851043
2020-06-29,Algeria,43851043
2020-06-30,Algeria,43851043
2020-07-01,Algeria,43851043
2020-07-02,Algeria,43851043
2020-07-03,Algeria,43851043
2020-07-04,Algeria,43851043
2020-07-05,Algeria,43851043
2020-07-06,Algeria,43851043
2020-07-07,Algeria,43851043
2020-07-08,Algeria,43851043
2020-07-09,Algeria,43851043
2020-07-10,Algeria,43851043
2020-07-11,Algeria,43851043
2020-07-12,Algeria,43851043
2020-07-13,Algeria,43851043
2020-07-14,Algeria,43851043
2020-07-15,Algeria,43851043
2020-07-16,Algeria,43851043
2020-07-17,Algeria,43851043
2020-07-18,Algeria,43851043
2020-07-19,Algeria,43851043
2020-07-20,Algeria,43851043
2020-07-21,Algeria,43851043
2020-07-22,Algeria,43851043
2020-07-23,Algeria,43851043
2020-07-24,Algeria,43851043
2020-07-25,Algeria,43851043
2020-07-26,Algeria,43851043
2020-07-27,Algeria,43851043
2020-07-28,Algeria,43851043
2020-07-29,Algeria,43851043
2020-07-30,Algeria,43851043
2020-07-31,Algeria,43851043
2020-08-01,Algeria,43851043
2020-08-02,Algeria,43851043
2020-08-03,Algeria,43851043
2020-08-04,Algeria,43851043
2020-08-05,Algeria,43851043
2020-08-06,Algeria,43851043
2020-08-07,Algeria,43851043
2020-08-08,Algeria,43851043
2020-08-09,Algeria,43851043
2020-08-10,Algeria,43851043
2020-08-11,Algeria,43851043
2020-08-12,Algeria,43851043
2020-08-13,Algeria,43851043
2020-08-14,Algeria,43851043
2020-08-15,Algeria,43851043
2020-08-16,Algeria,43851043
2020-08-17,Algeria,43851043
2020-08-18,Algeria,43851043
2020-08-19,Algeria,43851043
2020-08-20,Algeria,43851043
2020-08-21,Algeria,43851043
2020-08-22,Algeria,43851043
2020-08-23,Algeria,43851043
2020-08-24,Algeria,43851043
2020-08-25,Algeria,43851043
2020-08-26,Algeria,43851043
2020-08-27,Algeria,43851043
2020-08-28,Algeria,43851043
2020-08-29,Algeria,43851043
2020-08-30,Algeria,43851043
2020-08-31,Algeria,43851043
2020-09-01,Algeria,43851043
2020-09-02,Algeria,43851043
2020-09-03,Algeria,43851043
2020-09-04,Algeria,43851043
2020-09-05,Algeria,43851043
2020-09-06,Algeria,43851043
2020-09-07,Algeria,43851043
2020-09-08,Algeria,43851043
2020-09-09,Algeria,43851043
2020-09-10,Algeria,43851043
2020-09-11,Algeria,43851043
2020-09-12,Algeria,43851043
2020-09-13,Algeria,43851043
2020-09-14,Algeria,43851043
2020-09-15,Algeria,43851043
2020-09-16,Algeria,43851043
2020-09-17,Algeria,43851043
2020-09-18,Algeria,43851043
2020-09-19,Algeria,43851043
2020-09-20,Algeria,43851043
2020-09-21,Algeria,43851043
2020-09-22,Algeria,43851043
2020-09-23,Algeria,43851043
2020-09-24,Algeria,43851043
2020-09-25,Algeria,43851043
2020-09-26,Algeria,43851043
2020-09-27,Algeria,43851043
2020-09-28,Algeria,43851043
2020-09-29,Algeria,43851043
2020-09-30,Algeria,43851043
2020-10-01,Algeria,43851043
2020-10-02,Algeria,43851043
